epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4235.36,1.35729,5.0245,1.57662,0.6128,0.65898,0.64599,0.41356,1.58382,4.82718,1.70993,0.000643101,0.000643101,0.000643101
43,4332.52,1.35257,4.97155,1.56639,0.6334,0.66967,0.66164,0.42828,1.54814,4.81244,1.69612,0.000628101,0.000628101,0.000628101
44,4430.55,1.34314,4.96184,1.56609,0.65555,0.66255,0.68235,0.44631,1.54977,4.78815,1.71792,0.000612981,0.000612981,0.000612981
45,4528.17,1.32863,4.79512,1.55505,0.68045,0.71035,0.70138,0.45351,1.52235,4.5196,1.67641,0.000597754,0.000597754,0.000597754
46,4626.65,1.34831,4.80897,1.55917,0.69368,0.68161,0.70535,0.46269,1.49068,4.44246,1.64552,0.000582435,0.000582435,0.000582435
47,4726.2,1.31202,4.71544,1.53927,0.7128,0.67716,0.72259,0.47777,1.4925,4.28571,1.66982,0.00056704,0.00056704,0.00056704
48,4823.88,1.3139,4.6898,1.53302,0.64605,0.75238,0.70984,0.46004,1.53613,4.48866,1.69835,0.000551584,0.000551584,0.000551584
49,4922.22,1.31388,4.63386,1.5296,0.72568,0.70181,0.72881,0.4823,1.46695,4.29602,1.63969,0.000536081,0.000536081,0.000536081
50,5021.78,1.33795,4.71073,1.54936,0.70179,0.6965,0.73504,0.50097,1.47635,4.17325,1.63704,0.000520548,0.000520548,0.000520548
51,5121.61,1.30255,4.65147,1.52803,0.67387,0.71212,0.7201,0.48166,1.49004,4.23365,1.65143,0.000505,0.000505,0.000505
52,5220.67,1.29411,4.56745,1.51871,0.67112,0.73309,0.71931,0.48463,1.44268,4.09881,1.5923,0.000489452,0.000489452,0.000489452
53,5320.85,1.28159,4.47859,1.51723,0.70248,0.71636,0.74103,0.49712,1.43182,4.0212,1.59611,0.000473919,0.000473919,0.000473919
54,5420.19,1.26381,4.40339,1.50219,0.72572,0.73065,0.75225,0.51263,1.43101,3.91633,1.60216,0.000458416,0.000458416,0.000458416
55,5518.25,1.27639,4.38942,1.50912,0.69739,0.76025,0.76527,0.51871,1.44828,3.92598,1.60885,0.00044296,0.00044296,0.00044296
56,5618.01,1.26517,4.37825,1.49801,0.74829,0.7445,0.77254,0.5425,1.42537,3.86543,1.58491,0.000427565,0.000427565,0.000427565
57,5718.07,1.2517,4.28351,1.48088,0.76535,0.72614,0.77884,0.53235,1.41929,3.84714,1.57973,0.000412246,0.000412246,0.000412246
58,5816.75,1.25123,4.2793,1.48785,0.7602,0.76435,0.78799,0.55465,1.40908,3.66809,1.58654,0.000397019,0.000397019,0.000397019
59,5915.71,1.22813,4.22827,1.46419,0.73191,0.75476,0.77549,0.54207,1.41965,3.68991,1.57165,0.000381899,0.000381899,0.000381899
60,6014.76,1.22209,4.14487,1.45434,0.76617,0.72896,0.76905,0.53746,1.39662,3.64788,1.55717,0.000366899,0.000366899,0.000366899
61,6112.39,1.22037,4.08589,1.45322,0.72289,0.75841,0.78129,0.54157,1.34946,3.60016,1.5068,0.000352037,0.000352037,0.000352037
62,6211.49,1.19918,4.12208,1.44358,0.72936,0.76685,0.78999,0.56127,1.36084,3.51249,1.52102,0.000337325,0.000337325,0.000337325
63,6310.8,1.19006,3.99102,1.436,0.76102,0.74611,0.76846,0.54016,1.40001,3.66008,1.56817,0.000322778,0.000322778,0.000322778
64,6410.09,1.2093,4.00256,1.44988,0.78362,0.76673,0.79965,0.57758,1.35306,3.48847,1.52156,0.000308412,0.000308412,0.000308412
65,6510.1,1.19149,3.94114,1.44271,0.78469,0.7445,0.81278,0.59299,1.32391,3.40225,1.50284,0.000294239,0.000294239,0.000294239
66,6610.64,1.21164,4.01596,1.44766,0.77409,0.78979,0.80911,0.5775,1.32937,3.41625,1.49382,0.000280275,0.000280275,0.000280275
67,6709.35,1.17427,3.89446,1.4242,0.71071,0.82718,0.8162,0.59234,1.32721,3.32743,1.50042,0.000266532,0.000266532,0.000266532
68,6809.85,1.17789,3.89161,1.4278,0.78327,0.78117,0.81688,0.58893,1.31902,3.28471,1.4837,0.000253024,0.000253024,0.000253024
69,6910.9,1.16132,3.75149,1.4133,0.77631,0.79599,0.81932,0.60202,1.27534,3.20777,1.45271,0.000239766,0.000239766,0.000239766
70,7011.14,1.1487,3.77359,1.39409,0.76606,0.80949,0.83709,0.61331,1.28402,3.24917,1.472,0.000226769,0.000226769,0.000226769
71,7111.54,1.15767,3.68257,1.40645,0.81703,0.81174,0.84795,0.62139,1.27679,3.06466,1.45927,0.000214046,0.000214046,0.000214046
72,7211.57,1.17444,3.77642,1.41746,0.76519,0.83112,0.82943,0.60966,1.29106,3.12304,1.46994,0.000201611,0.000201611,0.000201611
73,7311.39,1.136,3.62266,1.38948,0.83964,0.80205,0.83796,0.61874,1.28175,3.07087,1.44977,0.000189475,0.000189475,0.000189475
74,7410.61,1.13045,3.74296,1.40015,0.8277,0.81689,0.84435,0.63073,1.27698,3.11277,1.44449,0.000177651,0.000177651,0.000177651
75,7511.06,1.13557,3.65538,1.39774,0.80242,0.8488,0.8523,0.64007,1.25503,2.98155,1.44018,0.000166149,0.000166149,0.000166149
76,7612.09,1.14581,3.68138,1.39934,0.80526,0.81989,0.86105,0.63735,1.25382,2.92055,1.43438,0.000154982,0.000154982,0.000154982
77,7712.94,1.12478,3.62282,1.38532,0.80309,0.8173,0.85049,0.6247,1.25101,2.93408,1.43058,0.000144161,0.000144161,0.000144161
78,7812.94,1.12196,3.60018,1.37702,0.85758,0.78619,0.85889,0.64514,1.21749,2.88356,1.39604,0.000133695,0.000133695,0.000133695
79,7913.68,1.10424,3.48314,1.3697,0.80754,0.80513,0.85342,0.63589,1.21713,2.88633,1.3914,0.000123596,0.000123596,0.000123596
80,8015.05,1.10214,3.54497,1.37124,0.81809,0.81755,0.86685,0.65622,1.22651,2.85895,1.40752,0.000113873,0.000113873,0.000113873
81,8116.8,1.09598,3.47113,1.36393,0.80424,0.85527,0.87207,0.65566,1.21081,2.80578,1.39896,0.000104537,0.000104537,0.000104537
82,8218.71,1.10096,3.4559,1.36285,0.83,0.8217,0.87084,0.65337,1.21525,2.78198,1.40814,9.55951e-05,9.55951e-05,9.55951e-05
83,8320.78,1.08499,3.41295,1.3626,0.84045,0.82567,0.86672,0.65786,1.20088,2.76185,1.38992,8.70577e-05,8.70577e-05,8.70577e-05
84,8422.66,1.09206,3.43375,1.36631,0.8252,0.84033,0.87479,0.64994,1.20476,2.76932,1.39753,7.89327e-05,7.89327e-05,7.89327e-05
85,8523.52,1.0967,3.43552,1.36223,0.82221,0.85583,0.88384,0.66444,1.1905,2.70154,1.38046,7.12282e-05,7.12282e-05,7.12282e-05
86,8624.34,1.04246,3.34171,1.33338,0.82193,0.86125,0.88798,0.67539,1.19025,2.69698,1.38125,6.39518e-05,6.39518e-05,6.39518e-05
87,8724.44,1.07051,3.36097,1.35059,0.82646,0.85087,0.88135,0.67014,1.19819,2.68782,1.38201,5.71106e-05,5.71106e-05,5.71106e-05
88,8823.32,1.08732,3.41371,1.35673,0.83635,0.8519,0.88503,0.67395,1.17935,2.67314,1.37018,5.07115e-05,5.07115e-05,5.07115e-05
89,8922.62,1.05923,3.29183,1.33273,0.84704,0.85471,0.88573,0.67614,1.18422,2.70035,1.37769,4.47606e-05,4.47606e-05,4.47606e-05
90,9021.47,1.06981,3.3355,1.34385,0.84124,0.8498,0.88315,0.67659,1.18117,2.62275,1.36727,3.9264e-05,3.9264e-05,3.9264e-05
91,9116.32,1.01598,2.68882,1.32156,0.83032,0.85325,0.8767,0.66434,1.20706,2.67742,1.38588,3.4227e-05,3.4227e-05,3.4227e-05
92,9210.63,0.96999,2.41848,1.28016,0.85782,0.84251,0.88146,0.66554,1.19114,2.63251,1.37132,2.96546e-05,2.96546e-05,2.96546e-05
93,9305.08,0.96577,2.40556,1.28147,0.84673,0.85382,0.87896,0.6675,1.18413,2.59619,1.36539,2.55513e-05,2.55513e-05,2.55513e-05
94,9397.91,0.96082,2.36473,1.27517,0.84582,0.8537,0.88039,0.67013,1.17358,2.55445,1.35854,2.19212e-05,2.19212e-05,2.19212e-05
95,9491.41,0.95614,2.36797,1.27268,0.85439,0.85052,0.88063,0.66825,1.16876,2.54923,1.35509,1.87678e-05,1.87678e-05,1.87678e-05
96,9585.55,0.95422,2.34896,1.27383,0.83841,0.85895,0.88014,0.67062,1.16783,2.53319,1.35399,1.60943e-05,1.60943e-05,1.60943e-05
97,9678.69,0.94401,2.31922,1.27184,0.85728,0.83533,0.879,0.67256,1.16392,2.51634,1.35344,1.39032e-05,1.39032e-05,1.39032e-05
98,9771.52,0.94778,2.28605,1.26998,0.84472,0.85576,0.88367,0.67751,1.15912,2.50017,1.34862,1.21968e-05,1.21968e-05,1.21968e-05
99,9864.5,0.94416,2.27267,1.25933,0.83267,0.85832,0.88329,0.67795,1.1565,2.5031,1.34849,1.09768e-05,1.09768e-05,1.09768e-05
100,9958.46,0.93674,2.30516,1.26683,0.84073,0.85834,0.88126,0.67549,1.15492,2.49903,1.34493,1.02443e-05,1.02443e-05,1.02443e-05
